name,label,author_id,type
朱枫,中国科学院沈阳自动化研究所,1,person
谈大龙,中国科学院机器人学开放研究实验室 沈阳110016,2,person
朱庆保,南京师范大学计算机科学系 南京210097,3,person
王常武,燕山大学信息科学与工程学院,4,person
孔令富,燕山大学信息科学与工程学院,5,person
韩佩富,燕山大学信息科学与工程学院,6,person
赵立强,燕山大学信息科学与工程学院,7,person
刘克胜,中国科技大学计算机系,8,person
张军,中国科技大学计算机系,9,person
曹先彬,中国科技大学计算机系,10,person
王煦法,中国科技大学计算机系,11,person
刘永红,石油大学机电工程系,12,person
李庆云,石油大学机电工程系,13,person
杨毅,石油大学机电工程系,14,person
孙羽,湛江海洋大学工程学院计算机系,15,person
张英夫,湛江海洋大学工程学院计算机系,16,person
张汝波,湛江海洋大学工程学院计算机系,17,person
张军宇,清华大学计算机科学与技术系智能技术与系统国家重点实验室,18,person
何克忠,清华大学计算机科学与技术系智能技术与系统国家重点实验室,19,person
刘珑龙,青岛海洋大学数学系,20,person
钟碧良,广东工业大学自动化研究所,21,person
陈承志,广东工业大学自动化研究所,22,person
杨宜民,广东工业大学自动化研究所,23,person
刘振宇,沈阳自动化所新松公司技术开发部,24,person
徐方,沈阳自动化所新松公司技术开发部 沈阳110016,25,person
洪炳熔,哈尔滨工业大学计算机系智能机器人研究室,26,person
薄喜柱,哈尔滨工业大学计算机系智能机器人研究室,27,person
韩学东,哈尔滨工业大学计算机系智能机器人研究室,28,person
温旭,清华大学自动化系,29,person
姜巍,清华大学自动化系,30,person
张金生,清华大学自动化系,31,person
石宗英,清华大学自动化系,32,person
钟宜生,清华大学自动化系,33,person
杜继宏,清华大学自动化系,34,person
徐文立,清华大学自动化系,35,person
王晓春,沈阳大学信息学院,36,person
刘天惠,沈阳大学信息学院,37,person
董立菊,沈阳大学信息学院,38,person
徐继镶,沈阳大学信息学院,39,person
马宏鹏,南开大学机器人与信息自动化研究所,40,person
翁春华,南开大学机器人与信息自动化研究所,41,person
张蕾,南开大学机器人与信息自动化研究所,42,person
赵新,南开大学机器人与信息自动化研究所,43,person
刘景泰,南开大学机器人与信息自动化研究所,44,person
卢桂章,南开大学机器人与信息自动化研究所,45,person
戴开宇,上海交通大学计算机集成技术开放实验室,46,person
张申生,上海交通大学计算机集成技术开放实验室,47,person
王淼,上海交通大学计算机集成技术开放实验室,48,person
杨玉君,上海交通大学信息存储研究中心,49,person
陈佳品,上海交通大学信息存储研究中心,50,person
程君实,上海交通大学信息存储研究中心,51,person
李小海,上海交通大学信息存储研究中心,52,person
朱永光,清华大学自动化系,53,person
孙政顺,清华大学自动化系,54,person
赵南元,清华大学自动化系,55,person
曹彤,北京科技大学机械工程学院,56,person
员超,北京航空航天大学机器人所,57,person
孙杏初,北京航空航天大学机器人所 北京100083,58,person
彭刚,华中科技大学控制科学与工程系,59,person
黄心汉,华中科技大学控制科学与工程系,60,person
蒋毅,华中科技大学控制科学与工程系,61,person
高志军,上海交通大学电子信息学院820研究所,62,person
颜国正,上海交通大学电子信息学院820研究所,63,person
丁国清,上海交通大学电子信息学院820研究所,64,person
颜德田,上海交通大学电子信息学院820研究所,65,person
张伟,清华大学自动化系,66,person
杜继宏,清华大学自动化系 北京100084,67,person
兰丽,清华大学智能技术与系统国家重点实验室,68,person
赵清杰,清华大学智能技术与系统国家重点实验室,69,person
孙增圻,清华大学智能技术与系统国家重点实验室,70,person
蒋金鹏,上海交通大学电子信息学院820所,71,person
颜国正,上海交通大学电子信息学院820所,72,person
丁国清,上海交通大学电子信息学院820所,73,person
王宏杰,上海交通大学电子信息学院820所,74,person
王于,上海交通大学电子信息学院820所,75,person
王志武,上海交通大学电子信息学院820所,76,person
吴文清,天津大学理学院,77,person
刘嘉焜,天津职业技术师范学院自动化系 天津300072,78,person
崔世钢,天津300222,79,person
范红,上海海运学院,80,person
蒋静坪,浙江大学电气工程学院 上海200135,81,person
宋宜斌,烟台大学计算机学院,82,person
王培进,烟台大学计算机学院,83,person
李凯里,烟台大学计算机学院,84,person
沈进棋,浙江大学电气工程学院,85,person
诸静,浙江大学电气工程学院 杭州310027,86,person
王世军,西安理工大学机械与精密仪器学院,87,person
黄玉美,西安理工大学机械与精密仪器学院 西安710048,88,person
李桂芝,北京科技大学信息学院,89,person
陈细军,北京科技大学信息学院,90,person
杨国胜,北京科技大学信息学院,91,person
谭民,北京科技大学信息学院,92,person
涂序彦,北京科技大学信息学院,93,person
乔凤斌,上海交通大学机器人研究所,94,person
杨汝清,上海交通大学机器人研究所 上海200030,95,person
甘贤海,上海交通大学电子信息与电气工程学院,96,person
丁国清,上海交通大学电子信息与电气工程学院 上海200030,97,person
汤琼,浙江工业大学信息工程学院,98,person
杨东勇,浙江工业大学信息工程学院 杭州310014,99,person
刘佳新,燕山大学网络中心,100,person
王玉琨,河北省工程咨询研究院,101,person
王新生,燕山大学计算机系 河北秦皇岛066004,102,person
吴山东,上海大学计算机工程与科学学院,103,person
陈一民,上海大学计算机工程与科学学院,104,person
何永义,上海大学计算机工程与科学学院,105,person
陈宁,华中科技大学控制科学与工程系复杂与非线性系统中心,106,person
王永骥,华中科技大学控制科学与工程系复杂与非线性系统中心,107,person
程磊,华中科技大学控制科学与工程系复杂与非线性系统中心,108,person
史胜利,哈尔滨工程大学,109,person
孟庆鑫,深圳大学,110,person
阮双琛,深圳大学 哈尔滨150001,111,person
郭小勤,深圳518060,112,person
王东署,东北大学人工智能与机器人研究所,113,person
张志佳,中国科学院沈阳自动化研究所,114,person
史泽林,中国科学院沈阳自动化研究所 沈阳110004,115,person
谢云,广东工业大学自动化学院,116,person
杨宜民,广东工业大学自动化学院 广州510090,117,person
张永谦,中国科学院自动化研究所,118,person
王挺,中国科学院沈阳自动化研究所,119,person
安成万,中国科学院自动化研究所 北京100080装甲兵工程学院控制工程系,120,person
谭民,北京100072,121,person
刘海波,哈尔滨工程大学计算机科学与技术学院,122,person
顾国昌,哈尔滨工程大学计算机科学与技术学院,123,person
沈晶,哈尔滨工程大学计算机科学与技术学院,124,person
熊震宇,南昌航空工业学院材料科学与工程系,125,person
陈焕明,南昌航空工业学院材料科学与工程系,126,person
葛杨,南昌航空工业学院材料科学与工程系,127,person
迟健男,东北大学人工智能与机器人研究所,128,person
徐心和,东北大学人工智能与机器人研究所,129,person
周庆瑞,中国科学院自动化研究所高技术创新中心,130,person
原魁,中国科学院自动化研究所高技术创新中心,131,person
刘俊承,中国科学院自动化研究所高技术创新中心,132,person
