author,school
朱枫,中国科学院沈阳自动化研究所
谈大龙,中国科学院机器人学开放研究实验室 沈阳110016
朱庆保,南京师范大学计算机科学系 南京210097
王常武,燕山大学信息科学与工程学院
孔令富,燕山大学信息科学与工程学院
韩佩富,燕山大学信息科学与工程学院
赵立强,燕山大学信息科学与工程学院
刘克胜,中国科技大学计算机系
张军,中国科技大学计算机系
曹先彬,中国科技大学计算机系
王煦法,中国科技大学计算机系
刘永红,石油大学机电工程系
李庆云,石油大学机电工程系
杨毅,石油大学机电工程系
孙羽,湛江海洋大学工程学院计算机系
张英夫,湛江海洋大学工程学院计算机系
张汝波,湛江海洋大学工程学院计算机系
张军宇,清华大学计算机科学与技术系智能技术与系统国家重点实验室
何克忠,清华大学计算机科学与技术系智能技术与系统国家重点实验室
刘珑龙,青岛海洋大学数学系
钟碧良,广东工业大学自动化研究所
陈承志,广东工业大学自动化研究所
杨宜民,广东工业大学自动化研究所
刘振宇,沈阳自动化所新松公司技术开发部
徐方,沈阳自动化所新松公司技术开发部 沈阳110016
洪炳熔,哈尔滨工业大学计算机系智能机器人研究室
薄喜柱,哈尔滨工业大学计算机系智能机器人研究室
韩学东,哈尔滨工业大学计算机系智能机器人研究室
温旭,清华大学自动化系
姜巍,清华大学自动化系
张金生,清华大学自动化系
石宗英,清华大学自动化系
钟宜生,清华大学自动化系
杜继宏,清华大学自动化系
徐文立,清华大学自动化系
王晓春,沈阳大学信息学院
刘天惠,沈阳大学信息学院
董立菊,沈阳大学信息学院
徐继镶,沈阳大学信息学院
马宏鹏,南开大学机器人与信息自动化研究所
翁春华,南开大学机器人与信息自动化研究所
张蕾,南开大学机器人与信息自动化研究所
赵新,南开大学机器人与信息自动化研究所
刘景泰,南开大学机器人与信息自动化研究所
卢桂章,南开大学机器人与信息自动化研究所
戴开宇,上海交通大学计算机集成技术开放实验室
张申生,上海交通大学计算机集成技术开放实验室
王淼,上海交通大学计算机集成技术开放实验室
杨玉君,上海交通大学信息存储研究中心
陈佳品,上海交通大学信息存储研究中心
程君实,上海交通大学信息存储研究中心
李小海,上海交通大学信息存储研究中心
朱永光,清华大学自动化系
孙政顺,清华大学自动化系
赵南元,清华大学自动化系
曹彤,北京科技大学机械工程学院
员超,北京航空航天大学机器人所
孙杏初,北京航空航天大学机器人所 北京100083
彭刚,华中科技大学控制科学与工程系
黄心汉,华中科技大学控制科学与工程系
蒋毅,华中科技大学控制科学与工程系
高志军,上海交通大学电子信息学院820研究所
颜国正,上海交通大学电子信息学院820研究所
丁国清,上海交通大学电子信息学院820研究所
颜德田,上海交通大学电子信息学院820研究所
张伟,清华大学自动化系
杜继宏,清华大学自动化系 北京100084
兰丽,清华大学智能技术与系统国家重点实验室
赵清杰,清华大学智能技术与系统国家重点实验室
孙增圻,清华大学智能技术与系统国家重点实验室
蒋金鹏,上海交通大学电子信息学院820所
颜国正,上海交通大学电子信息学院820所
丁国清,上海交通大学电子信息学院820所
王宏杰,上海交通大学电子信息学院820所
王于,上海交通大学电子信息学院820所
王志武,上海交通大学电子信息学院820所
吴文清,天津大学理学院
刘嘉焜,天津职业技术师范学院自动化系 天津300072
崔世钢,天津300222
范红,上海海运学院
蒋静坪,浙江大学电气工程学院 上海200135
宋宜斌,烟台大学计算机学院
王培进,烟台大学计算机学院
李凯里,烟台大学计算机学院
沈进棋,浙江大学电气工程学院
诸静,浙江大学电气工程学院 杭州310027
王世军,西安理工大学机械与精密仪器学院
黄玉美,西安理工大学机械与精密仪器学院 西安710048
李桂芝,北京科技大学信息学院
陈细军,北京科技大学信息学院
杨国胜,北京科技大学信息学院
谭民,北京科技大学信息学院
涂序彦,北京科技大学信息学院
乔凤斌,上海交通大学机器人研究所
杨汝清,上海交通大学机器人研究所 上海200030
甘贤海,上海交通大学电子信息与电气工程学院
丁国清,上海交通大学电子信息与电气工程学院 上海200030
汤琼,浙江工业大学信息工程学院
杨东勇,浙江工业大学信息工程学院 杭州310014
刘佳新,燕山大学网络中心
王玉琨,河北省工程咨询研究院
王新生,燕山大学计算机系 河北秦皇岛066004
吴山东,上海大学计算机工程与科学学院
陈一民,上海大学计算机工程与科学学院
何永义,上海大学计算机工程与科学学院
陈宁,华中科技大学控制科学与工程系复杂与非线性系统中心
王永骥,华中科技大学控制科学与工程系复杂与非线性系统中心
程磊,华中科技大学控制科学与工程系复杂与非线性系统中心
史胜利,哈尔滨工程大学
孟庆鑫,深圳大学
阮双琛,深圳大学 哈尔滨150001
郭小勤,深圳518060
王东署,东北大学人工智能与机器人研究所
张志佳,中国科学院沈阳自动化研究所
史泽林,中国科学院沈阳自动化研究所 沈阳110004
谢云,广东工业大学自动化学院
杨宜民,广东工业大学自动化学院 广州510090
张永谦,中国科学院自动化研究所
王挺,中国科学院沈阳自动化研究所
